,crimerate,is_crimerate,is_hero,lat,long,name,year
103,942.11,1,0,28.5383355,-81.3792365,Orlando,1975
104,867.22,1,0,41.2033216,-77.1945247,PA,1975
105,728.24,1,0,38.78492110000001,-76.8720961,Prince George's County,1975
106,480.86,1,0,35.7795897,-78.6381787,Raleigh,1975
107,917.13,1,0,38.5815719,-121.4943996,Sacramento,1975
108,594.44,1,0,40.7607793,-111.8910474,Salt Lake City,1975
109,549.16,1,0,29.4241219,-98.49362819999999,San Antonio,1975
110,385.17,1,0,37.3382082,-121.8863286,San Jose,1975
111,788.68,1,0,47.7510741,-120.7401385,WA,1975
112,1856.41,1,0,38.6270025,-90.19940419999999,St. Louis,1975
113,79.17,1,0,40.9848784,-72.61511689999999,Suffolk County,1975
114,1088.27,1,0,27.950575,-82.4571776,Tampa,1975
115,531.57,1,0,32.2226066,-110.9747108,Tucson,1975
116,208.11,1,0,36.8529263,-75.97798499999999,Virginia Beach,1975
117,1774.3,1,0,38.9071923,-77.0368707,DC,1975
118,438.59,1,0,37.68717609999999,-97.33005299999999,Wichita,1975
119,438.59,1,0,39.011902,-98.4842465,KS,1975
0,,0,1,40.7127753,-74.0059728,Captain Britain,1976
1,,0,1,52.3555177,-1.1743197,Captain Britain,1976
2,,0,1,51.5073509,-0.1277583,Captain Britain,1976
3,,0,1,39.43621359999999,-77.05303649999999,Captain Britain,1976
4,,0,1,43.34109429999999,-77.761901,Captain Britain,1976
5,,0,1,48.856614,2.3522219,Darkstar,1976
6,,0,1,46.227638,2.213749,Darkstar,1976
7,,0,1,36.778261,-119.4179324,Darkstar,1976
8,,0,1,34.0522342,-118.2436849,Darkstar,1976
9,,0,1,37.09024,-95.712891,Darkstar,1976
10,,0,1,37.09024,-95.712891,Darkstar,1976
11,,0,1,55.755826,37.6172999,Darkstar,1976
12,,0,1,36.778261,-119.4179324,Hellcat,1976
13,,0,1,37.7749295,-122.4194155,Hellcat,1976
14,,0,1,39.6283928,-84.15938179999999,Hellcat,1976
15,,0,1,37.09024,-95.712891,Hellcat,1976
16,,0,1,41.6032207,-73.087749,Jack of Hearts,1976
17,,0,1,41.308274,-72.9278835,Jack of Hearts,1976
18,,0,1,40.7127753,-74.0059728,Jigsaw,1976
19,,0,1,40.7830603,-73.9712488,Jigsaw,1976
20,,0,1,40.7282239,-73.7948516,Nova,1976
21,,0,1,40.7127753,-74.0059728,Nova,1976
22,,0,1,40.7127753,-74.0059728,Psylocke,1976
23,,0,1,52.3555177,-1.1743197,Psylocke,1976
24,,0,1,44.94310309999999,-123.0362554,Psylocke,1976
25,,0,1,41.1220194,-73.7948516,Psylocke,1976
26,,0,1,39.43621359999999,-77.05303649999999,Psylocke,1976
27,,0,1,55.378051,-3.435973,Psylocke,1976
28,1781.46,1,0,40.7127753,-74.0059728,New York City,1976
29,1646.4,1,0,33.7489954,-84.3879824,Atlanta,1976
30,1646.4,1,0,32.1656221,-82.9000751,GA,1976
31,977.51,1,0,41.8781136,-87.6297982,Chicago,1976
32,712.2,1,0,36.778261,-119.4179324,CA,1976
33,532.45,1,0,32.715738,-117.1610838,San Diego,1976
34,1166.81,1,0,34.0522342,-118.2436849,Los Angeles,1976
35,1044.96,1,0,25.7616798,-80.1917902,Miami,1976
36,1617.44,1,0,37.7749295,-122.4194155,San Francisco,1976
37,784.26,1,0,39.7392358,-104.990251,Denver,1976
38,412.56,1,0,43.0389025,-87.9064736,Milwaukee,1976
39,413.64,1,0,41.7605849,-88.32007150000001,Aurora,1976
40,1596.29,1,0,42.3600825,-71.0588801,Boston,1976
41,819.86,1,0,47.6062095,-122.3320708,Seattle,1976
42,1481.34,1,0,47.7510741,-120.7401385,Washington,1976
43,1648.25,1,0,39.2903848,-76.6121893,Baltimore,1976
44,1784.52,1,0,40.735657,-74.1723667,Newark,1976
45,467.8,1,0,37.09024,-95.712891,United States,1976
46,254.95,1,0,31.9685988,-99.9018131,TX,1976
47,931.99,1,0,36.1699412,-115.1398296,Las Vegas,1976
48,931.99,1,0,38.8026097,-116.419389,NV,1976
49,499.83,1,0,36.1539816,-95.99277500000001,Tulsa,1976
50,684.16,1,0,39.9525839,-75.1652215,Philadelphia,1976
51,2226.14,1,0,42.331427,-83.0457538,Detroit,1976
52,948.66,1,0,40.44062479999999,-79.9958864,Pittsburgh,1976
53,254.95,1,0,32.735687,-97.10806559999999,Arlington,1976
54,863.05,1,0,29.95106579999999,-90.0715323,New Orleans,1976
55,236.07,1,0,21.3069444,-157.8583333,Honolulu,1976
56,1322.75,1,0,41.49932,-81.6943605,Cleveland,1976
57,1784.52,1,0,40.0583238,-74.4056612,NJ,1976
58,727.12,1,0,40.7127753,-74.0059728,NY,1976
59,863.05,1,0,34.0522342,-118.2436849,LA,1976
60,576.38,1,0,33.4483771,-112.0740373,Phoenix,1976
61,1133.17,1,0,45.5051064,-122.6750261,Portland,1976
62,828.02,1,0,35.0843859,-106.650422,Albuquerque,1976
63,413.64,1,0,37.0366406,-95.6714121,CO,1976
64,421.89,1,0,30.267153,-97.7430608,Austin,1976
65,279.9,1,0,39.4647665,-76.7336521,Baltimore County,1976
66,279.9,1,0,37.0402828,-95.6398724,MD,1976
67,1596.29,1,0,36.11300500000001,-95.97542899999999,MA,1976
68,727.12,1,0,42.88644679999999,-78.8783689,Buffalo,1976
69,691.56,1,0,35.2270869,-80.8431267,Charlotte,1976
70,691.56,1,0,35.7595731,-79.01929969999999,NC,1976
71,977.51,1,0,40.6331249,-89.3985283,IL,1976
72,810.45,1,0,39.1031182,-84.5120196,Cincinnati,1976
73,810.45,1,0,40.4172871,-82.90712300000001,OH,1976
74,551.97,1,0,39.9611755,-82.99879419999999,Columbus,1976
75,815.35,1,0,32.7766642,-96.79698789999999,Dallas,1976
76,135.04,1,0,38.9085472,-77.2405153,Fairfax County,1976
77,135.04,1,0,37.3664814,-95.2644709,VA,1976
78,475.43,1,0,32.7554883,-97.3307658,Fort Worth,1976
79,712.2,1,0,36.7377981,-119.7871247,Fresno,1976
80,544.69,1,0,29.7604267,-95.3698028,Houston,1976
81,837.63,1,0,39.768403,-86.158068,Indianapolis,1976
82,816.97,1,0,30.3321838,-81.65565099999999,Jacksonville,1976
83,816.97,1,0,27.6648274,-81.5157535,FL,1976
84,1143.0,1,0,39.0997265,-94.5785667,Kansas City,1976
85,1143.0,1,0,37.9642529,-91.8318334,MO,1976
86,983.01,1,0,34.0522265,-118.2436596,Los Angeles County,1976
87,0.0,1,0,38.2526647,-85.7584557,Louisville,1976
88,0.0,1,0,37.8393332,-84.2700179,KY,1976
89,735.59,1,0,35.1495343,-90.0489801,Memphis,1976
90,735.59,1,0,35.5174913,-86.5804473,TN,1976
91,308.65,1,0,33.4151843,-111.8314724,Mesa,1976
92,308.65,1,0,34.0489281,-111.0937311,AZ,1976
93,1044.96,1,0,25.5516034,-80.6326916,Dade County,1976
94,412.56,1,0,43.7844397,-88.7878678,WI,1976
95,743.29,1,0,44.977753,-93.2650108,Minneapolis,1976
96,743.29,1,0,46.729553,-94.6858998,MN,1976
97,194.14,1,0,39.1547426,-77.2405153,Montgomery County,1976
98,634.78,1,0,36.1626638,-86.7816016,Nashville,1976
